# Resolved yy-spectrum 
# Flags: (SNR>=6. & COSMO=T) 
# fsky=0.432 ; effective_fsky=0.354 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12 (Gauss) 
 
9.00000000      12.00000000     10.50000000     0.00099668      0.00025918     
12.00000000     16.00000000     14.00000000     0.00080549      0.00016556     
16.00000000     21.00000000     18.50000000     0.00189369      0.00030679     
21.00000000     27.00000000     24.00000000     0.00341562      0.00045204     
27.00000000     35.00000000     31.00000000     0.00620686      0.00063619     
35.00000000     46.00000000     40.50000000     0.00997329      0.00077379     
46.00000000     60.00000000     53.00000000     0.01573610      0.00095690     
60.00000000     78.00000000     69.00000000     0.02496666      0.00117730     
78.00000000     102.00000000    90.00000000     0.03477217      0.00125473     
102.00000000    133.00000000    117.50000000    0.04252309      0.00119472     
133.00000000    173.00000000    153.00000000    0.05714955      0.00124543     
173.00000000    224.00000000    198.50000000    0.07223522      0.00123414     
224.00000000    292.00000000    258.00000000    0.08466540      0.00111328     
292.00000000    380.00000000    336.00000000    0.10114586      0.00104167     
380.00000000    494.00000000    437.00000000    0.10917412      0.00089588     
494.00000000    642.00000000    568.00000000    0.11190098      0.00075028     
642.00000000    835.00000000    738.50000000    0.11818490      0.00068955     
835.00000000    1085.00000000   960.00000000    0.12541299      0.00069244     
1085.00000000   1411.00000000   1248.00000000   0.15366626      0.00094285     
