# Total yy-spectrum 
# Flags: SNR>=0. & COSMO=F  
# fsky=0.432 ; effective_fsky=0.354 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12 (Gauss) 
 
9.00000000      12.00000000     10.50000000     0.00186166      0.00157796     
12.00000000     16.00000000     14.00000000     0.00871944      0.00245786     
16.00000000     21.00000000     18.50000000     0.00966834      0.00338276     
21.00000000     27.00000000     24.00000000     0.02289252      0.00506018     
27.00000000     35.00000000     31.00000000     0.02558049      0.00418993     
35.00000000     46.00000000     40.50000000     0.02096625      0.00358302     
46.00000000     60.00000000     53.00000000     0.04097639      0.00386505     
60.00000000     78.00000000     69.00000000     0.04996937      0.00390683     
78.00000000     102.00000000    90.00000000     0.06723778      0.00408892     
102.00000000    133.00000000    117.50000000    0.11392870      0.00529490     
133.00000000    173.00000000    153.00000000    0.14413228      0.00564442     
173.00000000    224.00000000    198.50000000    0.19538934      0.00593160     
224.00000000    292.00000000    258.00000000    0.28043653      0.00682872     
292.00000000    380.00000000    336.00000000    0.39701980      0.00823525     
380.00000000    494.00000000    437.00000000    0.56450654      0.00961864     
494.00000000    642.00000000    568.00000000    0.77917440      0.01227805     
642.00000000    835.00000000    738.50000000    1.09435697      0.01625466     
835.00000000    1085.00000000   960.00000000    1.65085941      0.02379564     
1085.00000000   1411.00000000   1248.00000000   2.55426703      0.04192563     
