# Un-resolved yy-spectrum 
# Flags: COMPLEMENT(SNR>=6. & COSMO=T) 
# fsky=0.419 ; effective_fsky=0.338 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12 (Gauss) 
 
9.00000000      12.00000000     10.50000000     0.00190381      0.00154465     
12.00000000     16.00000000     14.00000000     0.00864415      0.00252599     
16.00000000     21.00000000     18.50000000     0.00693781      0.00302331     
21.00000000     27.00000000     24.00000000     0.01388511      0.00405205     
27.00000000     35.00000000     31.00000000     0.01453163      0.00319127     
35.00000000     46.00000000     40.50000000     0.00800099      0.00285942     
46.00000000     60.00000000     53.00000000     0.01922721      0.00272508     
60.00000000     78.00000000     69.00000000     0.02493933      0.00294941     
78.00000000     102.00000000    90.00000000     0.04297072      0.00335319     
102.00000000    133.00000000    117.50000000    0.06456681      0.00416654     
133.00000000    173.00000000    153.00000000    0.08340920      0.00459792     
173.00000000    224.00000000    198.50000000    0.12367491      0.00493686     
224.00000000    292.00000000    258.00000000    0.19315015      0.00594933     
292.00000000    380.00000000    336.00000000    0.29140778      0.00748761     
380.00000000    494.00000000    437.00000000    0.44784342      0.00903534     
494.00000000    642.00000000    568.00000000    0.66115333      0.01194515     
642.00000000    835.00000000    738.50000000    0.97090295      0.01617339     
835.00000000    1085.00000000   960.00000000    1.53244991      0.02395420     
1085.00000000   1411.00000000   1248.00000000   2.43064879      0.04272674     
