# Resolved yy-spectrum 
# Flags: (SNR>=6. & COSMO=T) 
# fsky=0.432 ; effective_fsky=0.354 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12 (Gauss) 
 
9.00000000      20.00000000     14.50000000     0.00166018      0.00021384     
21.00000000     26.00000000     23.50000000     0.00445597      0.00064048     
27.00000000     34.00000000     30.50000000     0.00684743      0.00075074     
35.00000000     45.00000000     40.00000000     0.01130043      0.00092145     
46.00000000     59.00000000     52.50000000     0.01737321      0.00109762     
60.00000000     77.00000000     68.50000000     0.02668227      0.00129801     
78.00000000     101.00000000    89.50000000     0.03617241      0.00133636     
102.00000000    132.00000000    117.00000000    0.04428857      0.00126694     
133.00000000    172.00000000    152.50000000    0.05895649      0.00130312     
173.00000000    223.00000000    198.00000000    0.07378618      0.00127451     
224.00000000    291.00000000    257.50000000    0.08618858      0.00114272     
292.00000000    379.00000000    335.50000000    0.10258923      0.00106342     
380.00000000    493.00000000    436.50000000    0.11040632      0.00091042     
494.00000000    641.00000000    567.50000000    0.11293080      0.00076016     
642.00000000    834.00000000    738.00000000    0.11901207      0.00069623     
835.00000000    1084.00000000   959.50000000    0.12614095      0.00069795     
1085.00000000   1410.00000000   1247.50000000   0.15406144      0.00094578     
