# Total yy-spectrum 
# Flags: SNR>=0. & COSMO=F  
# fsky=0.432 ; effective_fsky=0.354 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12 (Gauss) 
 
9.00000000      20.00000000     14.50000000     0.00901559      0.00231592     
21.00000000     26.00000000     23.50000000     0.02287819      0.00612916     
27.00000000     34.00000000     30.50000000     0.02930342      0.00515361     
35.00000000     45.00000000     40.00000000     0.02344990      0.00417665     
46.00000000     59.00000000     52.50000000     0.04624781      0.00447387     
60.00000000     77.00000000     68.50000000     0.05263752      0.00428823     
78.00000000     101.00000000    89.50000000     0.07126144      0.00444291     
102.00000000    132.00000000    117.00000000    0.11809879      0.00559395     
133.00000000    172.00000000    152.50000000    0.14975789      0.00591228     
173.00000000    223.00000000    198.00000000    0.19909825      0.00613374     
224.00000000    291.00000000    257.50000000    0.28732876      0.00702768     
292.00000000    379.00000000    335.50000000    0.40133848      0.00839307     
380.00000000    493.00000000    436.50000000    0.57155926      0.00977846     
494.00000000    641.00000000    567.50000000    0.78444714      0.01243536     
642.00000000    834.00000000    738.00000000    1.10239406      0.01641316     
835.00000000    1084.00000000   959.50000000    1.65880234      0.02397069     
1085.00000000   1410.00000000   1247.50000000   2.56000708      0.04202388     
