# Un-resolved yy-spectrum 
# Flags: COMPLEMENT(SNR>=6. & COSMO=T) 
# fsky=0.338 ; effective_fsky=0.338 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12 (Gauss) 
 
9.00000000      20.00000000     14.50000000     0.00777895      0.00221526     
21.00000000     26.00000000     23.50000000     0.01234066      0.00491993     
27.00000000     34.00000000     30.50000000     0.01696100      0.00394765     
35.00000000     45.00000000     40.00000000     0.00886095      0.00331685     
46.00000000     59.00000000     52.50000000     0.02230715      0.00316919     
60.00000000     77.00000000     68.50000000     0.02636183      0.00324974     
78.00000000     101.00000000    89.50000000     0.04583191      0.00365497     
102.00000000    132.00000000    117.00000000    0.06820398      0.00442901     
133.00000000    172.00000000    152.50000000    0.08688421      0.00480027     
173.00000000    223.00000000    198.00000000    0.12634037      0.00511534     
224.00000000    291.00000000    257.50000000    0.19790856      0.00611928     
292.00000000    379.00000000    335.50000000    0.29449792      0.00762967     
380.00000000    493.00000000    436.50000000    0.45276959      0.00917971     
494.00000000    641.00000000    567.50000000    0.66537850      0.01209713     
642.00000000    834.00000000    738.00000000    0.97848679      0.01633050     
835.00000000    1084.00000000   959.50000000    1.53939304      0.02412921     
1085.00000000   1410.00000000   1247.50000000   2.43575855      0.04282549     
